Nakshatra
Ashwini
Bharani
Krittika
Rohini
Mrigashirsha
Ardra
Punarvasu
Pushya
Ashlesha
Magha
Purva Phalguni
Uttara Phalguni
Hasta
Chitra
Swati
Vishakha
Anuradha
Jyeshta
Moola
Purva Ashadha
Uttara Ashadha
Shravana
Dhanishta
Shatabhisha
Purva Bhadrapada
Uttara Bhadrapada
Revati
